Trial,Wire,NetType,Run,RunSteps,NetworkFilename,Image,Forward,Left,LeftRotation
10,1fail,actor,101,3,actor_101_3.h5,01,0.446443,0.3063,0.0767581
10,1fail,actor,101,3,actor_101_3.h5,02,0.431202,0.290927,-0.0211932
10,1fail,actor,101,3,actor_101_3.h5,03,0.440135,0.299371,0.0216957
10,1fail,actor,101,3,actor_101_3.h5,04,0.446684,0.288313,0.0536588
10,1fail,actor,101,3,actor_101_3.h5,05,0.439334,0.285819,-0.00112361
10,1fail,actor,101,3,actor_101_3.h5,06,0.438648,0.30931,0.0428278
10,1fail,actor,101,3,actor_101_3.h5,07,0.434614,0.319548,0.0067641
10,1fail,actor,101,3,actor_101_3.h5,08,0.441247,0.315993,0.00756627
10,1fail,actor,101,3,actor_101_3.h5,09,0.460606,0.215619,0.0203688
10,1fail,actor,101,3,actor_101_3.h5,10,0.438145,0.259422,0.0277464
10,1fail,actor,101,3,actor_101_3.h5,11,0.438513,0.307871,0.0181205
10,1fail,actor,101,3,actor_101_3.h5,12,0.441651,0.305097,-0.0341341
10,1fail,actor,101,3,actor_101_3.h5,13,0.438612,0.303286,0.0375661
10,1fail,actor,101,3,actor_101_3.h5,14,0.444395,0.302336,0.0124865
10,1fail,actor,101,3,actor_101_3.h5,15,0.439934,0.255236,0.0480474
10,1fail,actor,101,3,actor_101_3.h5,16,0.437171,0.339555,-0.0202051
10,1fail,actor,111,3,actor_111_3.h5,01,0.43967,0.310593,0.0531476
10,1fail,actor,111,3,actor_111_3.h5,02,0.423722,0.290848,-0.0480639
10,1fail,actor,111,3,actor_111_3.h5,03,0.433913,0.306082,0.00437794
10,1fail,actor,111,3,actor_111_3.h5,04,0.4406,0.288424,0.0307221
10,1fail,actor,111,3,actor_111_3.h5,05,0.432446,0.29234,-0.0213135
10,1fail,actor,111,3,actor_111_3.h5,06,0.430701,0.31687,0.0221601
10,1fail,actor,111,3,actor_111_3.h5,07,0.428717,0.320011,-0.0153775
10,1fail,actor,111,3,actor_111_3.h5,08,0.435269,0.31717,-0.0197689
10,1fail,actor,111,3,actor_111_3.h5,09,0.455233,0.216997,0.0043834
10,1fail,actor,111,3,actor_111_3.h5,10,0.431829,0.271345,0.013876
10,1fail,actor,111,3,actor_111_3.h5,11,0.43128,0.314814,-0.00187274
10,1fail,actor,111,3,actor_111_3.h5,12,0.434706,0.305474,-0.0591982
10,1fail,actor,111,3,actor_111_3.h5,13,0.431408,0.310205,0.0206967
10,1fail,actor,111,3,actor_111_3.h5,14,0.437261,0.308142,-0.0110015
10,1fail,actor,111,3,actor_111_3.h5,15,0.434684,0.264925,0.0356917
10,1fail,actor,111,3,actor_111_3.h5,16,0.430505,0.34416,-0.0486198
10,1fail,actor,11,4,actor_11_4.h5,01,0.49569,0.0388341,0.0377166
10,1fail,actor,11,4,actor_11_4.h5,02,0.485982,0.0349065,-0.0212948
10,1fail,actor,11,4,actor_11_4.h5,03,0.493375,0.0291374,-0.011224
10,1fail,actor,11,4,actor_11_4.h5,04,0.491478,0.0508413,0.0194287
10,1fail,actor,11,4,actor_11_4.h5,05,0.488039,0.0317835,-0.00852124
10,1fail,actor,11,4,actor_11_4.h5,06,0.493139,0.0445041,0.0200909
10,1fail,actor,11,4,actor_11_4.h5,07,0.488783,0.0416316,-0.0243149
10,1fail,actor,11,4,actor_11_4.h5,08,0.491795,0.0581772,-0.0058166
10,1fail,actor,11,4,actor_11_4.h5,09,0.494967,0.019585,0.0029478
10,1fail,actor,11,4,actor_11_4.h5,10,0.48404,0.0122307,0.0130233
